mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.067528581619262,1.5906171306602426,0.07259478569030761,0.008994180506116082,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-0.23646716550631042,-0.1202975791226748,-0.2773323597113193,-0.14119062613148814,-0.2710388197543361,-0.20926531004522575,0.0659370160501921,107,-0.1565047869468561,-0.1664692150036733,-0.16211353500026182,-0.1583339134797559,-0.14169527906260893,-0.1570233458986312,0.00839131207786571
1.9802046775817872,0.5694676563075914,0.06227355003356934,0.01326038096721585,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-0.23632908698668786,-0.11408057591990506,-0.28161466570435745,-0.13723478644610898,-0.2666764883426691,-0.20718712067994569,0.06854174824938546,105,-0.15463243421742412,-0.16685245638036594,-0.1636840420945067,-0.16066315195372205,-0.14885351005538716,-0.1589371189402812,0.006455610194129296
5.549210739135742,0.16652645038800307,0.26413784027099607,0.08598186628671912,0.8,0.01,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.19662137697754045,0.23533148958418404,0.12988118203982812,0.21675264738354072,0.1632161862908601,0.1883605764551907,0.03776955685460335,63,0.329288867491756,0.3113831808724612,0.33722428523019776,0.3214863897720416,0.32829242334963304,0.3255350293432179,0.008660248532921917
5.974067878723145,0.5744198600156353,0.2289508819580078,0.09563750152786908,0.8,0.01,3,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.1914689959660708,0.2318941797656653,0.1153427878526333,0.20316609633982852,0.16580856596535143,0.18153612517790987,0.039322678600180516,72,0.3197806402877532,0.3073808875940003,0.32427172936033144,0.3080714292588087,0.32030906919817626,0.315962751139814,0.006905464795769077
10.779966020584107,1.2424253429157188,0.3120554447174072,0.14646873730488794,0.8,0.01,3,500,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",0.22583932168721121,0.25511321864388736,0.1544679765013367,0.22797372027474416,0.18698785010767893,0.21007641744297167,0.03527740553621167,30,0.4106951012217538,0.3919591096316154,0.4228107091059994,0.405674962917556,0.4108257203647553,0.408393120648336,0.009965426357385393
10.588802242279053,1.6141240206852192,0.26095075607299806,0.09421147408646457,0.8,0.01,3,500,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",0.2252594301428884,0.25033079323106555,0.1500511960069204,0.2257657260528244,0.1831265448760636,0.20690673806195248,0.035710450997760844,37,0.39839668627211766,0.36933526653752924,0.40260139595913613,0.38072109438662316,0.39028482620527094,0.38826785387213547,0.012062406839881041
3.683390665054321,0.41004115812502673,0.20692853927612304,0.05532874980324514,0.8,0.01,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",-0.2111979412685987,-0.09841017388923201,-0.2519968166660389,-0.10554690539873968,-0.25487742678809777,-0.18440585280214142,0.06908919961581259,100,-0.046915877010489604,-0.05008488028268254,-0.050576995624682874,-0.04304680726773169,-0.027624433043941243,-0.04364979864590559,0.00845268647019565
3.634070348739624,0.2317369850979917,0.21592636108398439,0.04897039560301392,0.8,0.01,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",-0.2098589052250257,-0.07967008290009447,-0.2505054324437044,-0.10172359599705416,-0.24240603589899257,-0.17683281049297425,0.07197251667682104,97,-0.04154976974582203,-0.043568289038736774,-0.043037090562274116,-0.049883958480287705,-0.019000962950912692,-0.039408014155606665,0.010594888843604457
11.518681812286378,0.6476126071115574,0.4063988208770752,0.2947326896250342,0.8,0.01,5,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.23409242878110836,0.27269434679825766,0.16899666691616,0.26520290532931834,0.18354837907438926,0.22490694537984673,0.0420196703285938,16,0.5462606541230666,0.5350312731802924,0.5530697423301272,0.5508000301064955,0.5421998309312076,0.5454723061342378,0.006425751864591262
11.574420261383057,1.3241954758868728,0.5200151920318603,0.18790556978983886,0.8,0.01,5,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.2133986148234317,0.27000069373820945,0.15732736316615037,0.2669172670299115,0.18999113938096013,0.2195270156277326,0.04375420016041014,19,0.5392034081805164,0.5231607740103164,0.5433790622552706,0.5362284109834321,0.5464564138511085,0.5376856138561288,0.00805903715831446
